Delta i (deg),Rayleigh (log-U Pr),Rayleigh (TG Pr),Gaussian (log-U Pr),Gaussian (TG Pr),Tr. Gaussian (U Pr)
24.900000000000002,0.02124270901627897,0.021711176389865604,0.008898308628751014,0.021278543369181453,0.011459031494080328
25.0,0.020979722842094727,0.02144983170112762,0.00845954767384214,0.020757553547521485,0.01137255756655716
25.1,0.020718293620246887,0.021189924867825147,0.008038081937337242,0.020243868463279878,0.011286736047670295
25.200000000000003,0.020458447154722125,0.020931482773763496,0.007633493240043136,0.019737580545128364,0.011201562016416635
25.3,0.02020020841126125,0.020674531494904884,0.007245357712674939,0.019231776673443616,0.011117030588928215
25.400000000000002,0.019943601522987315,0.020419096304033206,0.006876535457412497,0.018718694454420322,0.011033136918191447
25.5,0.01968864979626788,0.0201652016756523,0.006524064504580051,0.018214086304494132,0.010949876193693826
25.6,0.019435375716804704,0.0199128712911116,0.006186388660277948,0.017718009478759122,0.010867243641229325
25.700000000000003,0.019183800955944665,0.0196621280439535,0.005863089938045315,0.01723051240531755,0.01078523452259923
25.8,0.018933946377204858,0.019412994045475918,0.0055507187764568845,0.016756845075114008,0.010703844135311343
25.900000000000002,0.018685832043005703,0.01916549063050456,0.005250696249038758,0.01629961189728482,0.010623067812364629
26.0,0.01843947722160532,0.01891963836336845,0.004964196840845587,0.015845259926357647,0.010542900921928049
26.1,0.018194900394228455,0.018675457044072932,0.004691663612889032,0.015397198254805958,0.01046333886711893
26.200000000000003,0.01795211926238387,0.018432965714664067,0.004435244633614851,0.014957590558293708,0.010384377085691695
26.3,0.01771115075536299,0.0181921826657782,0.004190634242761206,0.01452643972719676,0.010306011049847873
26.400000000000002,0.01747201103791382,0.01795312544337095,0.003957431534141493,0.014103741519750222,0.010228236265896043
26.5,0.017234715518083504,0.017715810855619494,0.003735240296441785,0.013689484772395556,0.010151048274037358
26.6,0.01699927885522274,0.01748025497999197,0.0035236695632704434,0.013273540906733243,0.01007444264814653
26.700000000000003,0.016765714968145974,0.01724647317047826,0.0033221199268922124,0.012865074126255224,0.009998414995412127
26.8,0.016534037043440787,0.01701448006497607,0.0031279379876792517,0.012465520580226385,0.009922960956195633
26.900000000000002,0.016304257543920002,0.016784289592826303,0.0029441547367361704,0.012061407167039349,0.009848076203721766
27.0,0.016076388217210268,0.01655591498249187,0.0027699468801799763,0.011665862939479979,0.009773756443839984
27.1,0.015850440104470766,0.016329368769373985,0.0026046532364159096,0.011279773521847294,0.009699997414791902
27.200000000000003,0.015626423549235758,0.01610466280376023,0.002447913419470995,0.010905197074893833,0.009626794886953666
27.3,0.01540434820637476,0.015881808258898296,0.0022993753237896546,0.010550154352922149,0.009554144662602486
27.400000000000002,0.015184223051164025,0.015660815639189717,0.0021586953567225295,0.010203673556265759,0.009482042575645822
27.5,0.01496605638846352,0.015441694788498054,0.0020255386348813614,0.009871043807013678,0.009410484491460704
27.6,0.014749855861992948,0.015224454898565408,0.0018995791459413807,0.009552772159934737,0.00933946630655724
27.700000000000003,0.014535628463701052,0.015009104517531915,0.0017808288284215058,0.009242189055660464,0.009268983948404313
27.8,0.014323380543222117,0.014795651558552437,0.0016705783560454414,0.008939214625407789,0.009199033375199952
27.900000000000002,0.014113117817413815,0.014584103308504893,0.0015663467496546874,0.008643765358023709,0.009129610575601793
28.0,0.013904845379970575,0.014374466436784812,0.0014678624812630723,0.008355754310826684,0.009060711568526891
28.1,0.013698567711106625,0.01416674700418044,0.0013748624256783894,0.008075091318205153,0.008992332402919238
28.200000000000003,0.013494288687303102,0.013960950471823158,0.0012870918575513559,0.007801683197704988,0.008924469157515132
28.3,0.01329201159111355,0.013757081710207803,0.001204304427633441,0.00753543395335105,0.008857117940622706
28.400000000000002,0.013091739121022235,0.013555145008277515,0.0011262621196331058,0.007276244975961965,0.00879027488989497
28.5,0.012893473401349822,0.013355144082568025,0.0010527351890394305,0.007024015240231043,0.00872393617212058
28.6,0.012697215992200986,0.013157082086406044,0.000983502085257252,0.006778641498360256,0.008658097982988189
28.700000000000003,0.012502967899448658,0.012960961619156816,0.0009183493583694812,0.00654001847004807,0.008592756546892222
28.8,0.012310729584749665,0.012766784735515709,0.0008562958400587762,0.006308039028645778,0.00852790811666556
28.900000000000002,0.01212050097558642,0.012574552954838761,0.0007973186565367269,0.006082594383310547,0.008463548973450852
29.0,0.011932281475329915,0.01238426727050759,0.0007420035591485407,0.005863574256997666,0.008399675426390064
29.1,0.011746069973318706,0.012195928159323521,0.0006901540381706404,0.005649214516222361,0.0083362838124792
29.200000000000003,0.011561864854949103,0.012009535590926414,0.0006415818570332636,0.005439930634856219,0.00827337049635772
